,gdp_growth,cpi_level,unrate,indpro_level,interest_rate,cpi_growth,indpro_growth,wb_gdp_growth_pct,wb_cpi_inflation_pct,wb_unemployment_pct,wb_trade_bal_gdp_pct,wb_gross_savings_pct,oecd_leading_index,recession,covid_shock,quarter
2000-01-01,1.87914567896685,99.02434999999998,4.833333333333333,103.4289,0.025463333333333334,,,2.97832688768516,-0.676578683595175,4.748,1.34458408508878,32.226897643242,92.97731333333333,0,0,1
2000-04-01,0.611637523018782,99.26190333333334,4.7,106.01553333333334,0.020636666666666668,0.23960657180408518,2.4701204135567423,2.97832688768516,-0.676578683595175,4.748,1.34458408508878,32.226897643242,92.96054166666666,0,0,2
2000-07-01,-0.045133217948401,99.02434999999998,4.666666666666667,106.75959999999999,0.14190666666666665,-0.23960657180408518,0.6993953551181598,2.97832688768516,-0.676578683595175,4.748,1.34458408508878,32.226897643242,88.0215475,0,0,3
2000-10-01,1.0363330479737,98.88860333333332,4.733333333333333,107.99973333333332,0.2455166666666667,-0.13717817421001754,1.1549180177683027,2.97832688768516,-0.676578683595175,4.748,1.34458408508878,32.226897643242,47.26013,0,0,4
2001-01-01,0.58479578460946,98.61712,4.766666666666667,104.84623333333333,0.20134666666666667,-0.27491203772020967,-2.963392561908851,0.284608556379041,-0.740055504162738,5.02,0.585420182648131,30.9468310340449,46.92335,1,0,1
2001-04-01,-0.758646066177637,98.54924666666666,4.8999999999999995,101.51550000000002,0.01873,-0.06884879724866622,-3.228333618371959,0.284608556379041,-0.740055504162738,5.02,0.585420182648131,30.9468310340449,82.258965,1,0,2
2001-07-01,-1.17725202115579,98.31169666666666,5.133333333333333,97.22811999999999,0.009303333333333334,-0.2413379833263285,-4.315152614393991,0.284608556379041,-0.740055504162738,5.02,0.585420182648131,30.9468310340449,93.00559333333332,0,0,3
2001-10-01,-0.218352176399106,97.97233999999999,5.366666666666667,94.88954000000001,0.00247,-0.345781562837022,-2.43464917831151,0.284608556379041,-0.740055504162738,5.02,0.585420182648131,30.9468310340449,95.52257916666667,0,0,4
2002-01-01,0.253555660695359,97.25968999999999,5.266666666666667,95.42103666666667,0.001386666666666667,-0.7300576296386474,0.5585586022722744,0.0849888050363319,-0.923494026942321,5.386,1.24498770452081,29.7659095325359,95.11901888888889,0,0,1
2002-04-01,0.717707235858378,97.70085666666667,5.3999999999999995,98.14937666666667,0.00142,0.45257097111077726,2.8191505600505096,0.0849888050363319,-0.923494026942321,5.386,1.24498770452081,29.7659095325359,100.40630333333333,0,0,2
2002-07-01,0.307706951942865,97.53118333333333,5.433333333333334,99.88558666666665,0.0029666666666666665,-0.17381714195270348,1.753482775581361,0.0849888050363319,-0.923494026942321,5.386,1.24498770452081,29.7659095325359,99.57154833333334,0,0,3
2002-10-01,0.233586183196555,97.42937,5.333333333333333,100.3462,0.0019366666666666666,-0.10444506937226095,0.46008094269325284,0.0849888050363319,-0.923494026942321,5.386,1.24498770452081,29.7659095325359,99.89371666666666,0,0,4
2003-01-01,-0.114995823825426,97.02214333333332,5.333333333333333,101.5856,0.0016666666666666668,-0.418847099749442,1.2275585754467855,1.38010935830795,-0.256541816316025,5.251,1.58657351647021,29.8104602122409,99.95756166666666,0,0,1
2003-04-01,0.82511199024875,97.46330999999999,5.433333333333334,101.1146,0.001,0.45367652519843205,-0.4647265742066864,1.38010935830795,-0.256541816316025,5.251,1.58657351647021,29.8104602122409,99.49392,0,0,2
2003-07-01,0.29014585763838,97.29363000000001,5.166666666666667,101.76673333333333,0.0016666666666666668,-0.17424800670244878,0.6428739091977498,1.38010935830795,-0.256541816316025,5.251,1.58657351647021,29.8104602122409,,0,0,3
2003-10-01,1.01132732887972,97.12394666666667,5.033333333333333,104.70123333333333,0.001,-0.17455559248045205,2.842763132924997,1.38010935830795,-0.256541816316025,5.251,1.58657351647021,29.8104602122409,,0,0,4
2004-01-01,0.855541118254588,96.8864,4.8999999999999995,106.00546666666666,0.0006666666666666666,-0.24488053287354816,1.2379767614195458,2.11294823723127,-0.0085733882031027,4.734,1.88919861265864,30.3046804780382,,0,0,1
2004-04-01,-0.072934419848958,97.15788666666667,4.733333333333333,107.56333333333333,0.0006666666666666666,0.2798194664454634,1.4589156266105796,2.11294823723127,-0.0085733882031027,4.734,1.88919861265864,30.3046804780382,44.14048,0,0,2
2004-07-01,0.554178355318014,97.19182,4.766666666666667,108.4328,0.0006666666666666666,0.0349198712569887,0.8050804886955198,2.11294823723127,-0.0085733882031027,4.734,1.88919861265864,30.3046804780382,45.18363,0,0,3
2004-10-01,-0.381164347216179,97.63298333333334,4.533333333333333,106.47646666666667,0.001,0.45288287714635445,-1.8206635796452098,2.11294823723127,-0.0085733882031027,4.734,1.88919861265864,30.3046804780382,73.53953,0,0,4
2005-01-01,0.619019295748835,96.92033333333332,4.533333333333333,108.57776666666666,0.0013333333333333333,-0.7326045112876933,1.9542669248250988,1.8482813374834,-0.282946068764391,4.446,1.38779408141497,30.435900399459,47.03823,0,0,1
2005-04-01,0.961154937808995,97.05607666666667,4.433333333333334,108.79513333333334,0.001,0.13995862227949019,0.19999433150879042,1.8482813374834,-0.282946068764391,4.446,1.38779408141497,30.435900399459,75.321815,0,0,2
2005-07-01,0.901158927672996,96.8864,4.3,108.43283333333333,0.001,-0.1749763258406034,-0.33356693568764584,1.8482813374834,-0.282946068764391,4.446,1.38779408141497,30.435900399459,49.1217,0,0,3
2005-10-01,0.281281524101962,96.8864,4.433333333333334,109.62836666666665,0.001,0.0,1.0965227304772007,1.8482813374834,-0.282946068764391,4.446,1.38779408141497,30.435900399459,75.64713499999999,0,0,4
2006-01-01,0.077676587019404,96.78459,4.2,111.07753333333334,0.0013333333333333333,-0.10513707745101186,1.3132294997149074,1.54630843078741,0.249355116079085,4.192,1.28352504597033,30.7861914859199,92.71938999999999,0,0,1
2006-04-01,0.276928667781373,97.22576,4.133333333333333,112.92516666666666,0.019333333333333334,0.45479095358640365,1.6496901471119152,1.54630843078741,0.249355116079085,4.192,1.28352504597033,30.7861914859199,95.81383555555556,0,0,2
2006-07-01,-0.013832429254268,97.49723999999999,4.1,113.97586666666666,0.222,0.27883729800475265,0.9261372631906184,1.54630843078741,0.249355116079085,4.192,1.28352504597033,30.7861914859199,97.52488333333334,0,0,3
2006-10-01,1.34414997471786,97.22575666666667,4.033333333333333,115.20763333333332,0.25533333333333336,-0.2788407264515236,1.0749277563341764,1.54630843078741,0.249355116079085,4.192,1.28352504597033,30.7861914859199,98.07003611111111,0,0,4
2007-01-01,0.718730389544309,96.68278333333335,4.0,114.88153333333332,0.37766666666666665,-0.5600318092890966,-0.28345551689135107,1.72837912865577,0.060039454498669,3.888,1.74245383201569,31.3337221106681,99.47380277777778,0,0,1
2007-04-01,0.154914748483104,97.15788666666667,3.766666666666667,115.64236666666666,0.514,0.4902008280459391,0.6600930280417749,1.72837912865577,0.060039454498669,3.888,1.74245383201569,31.3337221106681,97.5010711111111,0,0,2
2007-07-01,-0.656069872818443,97.36149999999999,3.733333333333333,117.56246666666668,0.498,0.20935024645929445,1.646744077191542,1.72837912865577,0.060039454498669,3.888,1.74245383201569,31.3337221106681,95.31595833333334,0,0,3
2007-10-01,0.567638162614736,97.70085666666667,3.8333333333333335,118.3233,0.501,0.3479472050276655,0.6450884956060499,1.72837912865577,0.060039454498669,3.888,1.74245383201569,31.3337221106681,98.55960833333334,0,0,4
2008-01-01,0.20846826572658,97.63298666666667,3.9,118.95823333333334,0.5056666666666666,-0.06949128893696255,0.5351742631194867,-1.16662209355141,1.3800788616492,4.002,0.336361083060188,29.7016885393561,99.50911866666667,0,0,1
2008-04-01,-0.479445017662883,98.44743999999999,3.966666666666667,117.07653333333333,0.5066666666666667,0.8307387240440889,-1.5944599109916524,-1.16662209355141,1.3800788616492,4.002,0.336361083060188,29.7016885393561,97.36326388888888,0,0,2
2008-07-01,-1.11133625582148,99.46551333333332,4.0,112.83413333333333,0.5006666666666667,1.0288182720191053,-3.690895823893925,-1.16662209355141,1.3800788616492,4.002,0.336361083060188,29.7016885393561,97.42151944444446,1,0,3
2008-10-01,-2.37392777595451,98.71893,4.066666666666666,102.43341,0.333,-0.7534263057488388,-9.670596484015448,-1.16662209355141,1.3800788616492,4.002,0.336361083060188,29.7016885393561,95.44307272222223,1,0,4
2009-01-01,-4.43524113375537,97.53118333333333,4.566666666666666,82.31622,0.11033333333333334,-1.2104565433300962,-21.86447568181613,-5.9359411383964,-1.35283672951719,5.068,0.443906691282091,26.3633389932188,95.14730601587301,1,0,1
2009-04-01,1.11900840154062,97.53118,5.1000000000000005,86.38755333333334,0.10333333333333333,-3.417710381370398e-06,4.827543468642492,-5.9359411383964,-1.35283672951719,5.068,0.443906691282091,26.3633389932188,95.14728577777777,1,0,2
2009-07-01,-0.649385176626149,97.22576,5.433333333333334,91.21157333333333,0.10333333333333333,-0.31364248213394674,5.433818282329117,-5.9359411383964,-1.35283672951719,5.068,0.443906691282091,26.3633389932188,95.82391144444443,0,0,3
2009-10-01,1.60548782775791,96.71672000000001,5.2,97.64359666666667,0.104,-0.5249403523508889,6.814229122862425,-5.9359411383964,-1.35283672951719,5.068,0.443906691282091,26.3633389932188,98.21397126984128,0,0,4
2010-01-01,1.23981873188119,96.68278333333332,5.033333333333333,101.407,0.09800000000000002,-0.03509488538506744,3.781804146244294,4.13645589222239,-0.728243207517779,5.102,1.32546071702726,27.3250376618032,99.30667706349205,0,0,1
2010-04-01,1.37862924994798,96.75065666666666,5.133333333333333,102.4676,0.09300000000000001,0.070177458581,1.0404528743172214,4.13645589222239,-0.728243207517779,5.102,1.32546071702726,27.3250376618032,100.5560786111111,0,0,2
2010-07-01,1.72445203637563,96.24162333333334,5.066666666666666,103.9388,0.09333333333333334,-0.5275180061719453,1.42556133433418,4.13645589222239,-0.728243207517779,5.102,1.32546071702726,27.3250376618032,101.18613333333333,0,0,3
2010-10-01,-0.859012134184056,96.44523666666667,5.0,103.28873333333333,0.08966666666666667,0.2113412498601086,-0.6273961655267613,4.13645589222239,-0.728243207517779,5.102,1.32546071702726,27.3250376618032,101.47938888888889,0,0,4
2011-01-01,-1.43464021420454,96.17375,4.733333333333333,99.52529333333332,0.08766666666666667,-0.28189001628415866,-3.711648652099342,-0.20035785332982,-0.27245561610124,4.55,-0.642332911629838,26.4765417956248,100.8263,1,0,1
2011-04-01,-0.639667500924457,96.37736333333334,4.666666666666667,95.48818,0.06666666666666667,0.21149024350179957,-4.14093460221201,-0.20035785332982,-0.27245561610124,4.55,-0.642332911629838,26.4765417956248,100.49785,0,0,2
2011-07-01,2.39354557779925,96.37736333333334,4.466666666666667,101.81756666666666,0.078,0.0,6.418017961276856,-0.20035785332982,-0.27245561610124,4.55,-0.642332911629838,26.4765417956248,,0,0,3
2011-10-01,0.03471757979141,96.13981666666666,4.466666666666667,102.87816666666667,0.07866666666666666,-0.24677983255543268,1.0362790410629152,-0.20035785332982,-0.27245561610124,4.55,-0.642332911629838,26.4765417956248,,0,0,4
2012-01-01,1.52002363120938,96.47917333333334,4.5,103.66506666666668,0.083,0.3523609149675089,0.7619749091936079,1.64893452981225,-0.0440645104432602,4.358,-1.62646863104798,25.8689648374274,98.99105,0,0,1
2012-04-01,-0.926725461246869,96.54704,4.3999999999999995,101.47543333333334,0.07833333333333332,0.07031860418456048,-2.134845624683912,1.64893452981225,-0.0440645104432602,4.358,-1.62646863104798,25.8689648374274,100.6348,0,0,2
2012-07-01,-0.395400732919715,95.97013666666668,4.233333333333333,98.32785666666666,0.085,-0.5993284029599089,-3.1509361856141282,1.64893452981225,-0.0440645104432602,4.358,-1.62646863104798,25.8689648374274,100.60864,0,0,3
2012-10-01,-0.054766774076331,95.90226666666666,4.166666666666667,96.75406333333335,0.08433333333333333,-0.07074493429133355,-1.61350419001014,1.64893452981225,-0.0440645104432602,4.358,-1.62646863104798,25.8689648374274,98.26403333333333,0,0,4
2013-01-01,1.27735772933788,95.83439666666668,4.2,96.75715000000001,0.081,-0.07079501818250122,0.0031901682737256465,1.99727653399265,0.335037912184741,4.038,-2.38395128356965,26.1985175657253,99.07711611111112,0,0,1
2013-04-01,1.02579239596703,96.27555666666666,4.033333333333333,98.75695,0.07,0.45927945722965546,2.045755006345651,1.99727653399265,0.335037912184741,4.038,-2.38395128356965,26.1985175657253,98.86121861111111,0,0,2
2013-07-01,0.948828805716784,96.81853,3.933333333333333,100.55673333333334,0.07,0.5623939850610604,1.8060297950767357,1.99727653399265,0.335037912184741,4.038,-2.38395128356965,26.1985175657253,99.38265000000001,0,0,3
2013-10-01,-0.140659883280025,97.25968999999999,3.8666666666666667,101.75666666666666,0.07,0.45462160548179753,1.186226323958195,1.99727653399265,0.335037912184741,4.038,-2.38395128356965,26.1985175657253,100.06326722222222,0,0,4
2014-01-01,1.0469098332883,97.29362333333334,3.6666666666666665,103.58980000000001,0.07333333333333335,0.03488332642200831,1.7854527137978415,0.905915486065865,2.75922671353253,3.589,-2.54859947339685,27.0705807856305,100.0797288888889,0,0,1
2014-04-01,-1.44001607272859,99.70306666666666,3.6333333333333333,100.75676,0.06666666666666667,2.4462984536384624,-2.772957402975873,0.905915486065865,2.75922671353253,3.589,-2.54859947339685,27.0705807856305,100.01783111111111,0,0,2
