,gdp_level,gdp_growth,cpi_level,cpi_growth,wb_gdp_growth_pct,wb_cpi_inflation_pct,wb_unemployment_pct,wb_trade_bal_gdp_pct,wb_gross_savings_pct,recession,covid_shock,quarter,gdp_growth_lag1,gdp_growth_lag2,gdp_growth_lag3,gdp_growth_lag4,cpi_growth_lag1,cpi_growth_lag2,wb_gdp_growth_pct_lag1,wb_gdp_growth_pct_lag2,wb_cpi_inflation_pct_lag1,wb_cpi_inflation_pct_lag2,wb_unemployment_pct_lag1,wb_unemployment_pct_lag2,wb_trade_bal_gdp_pct_lag1,wb_trade_bal_gdp_pct_lag2,wb_gross_savings_pct_lag1,wb_gross_savings_pct_lag2,gdp_growth_roll2_mean,gdp_growth_roll2_std,gdp_growth_roll4_mean,gdp_growth_roll4_std,gdp_growth_yoy
2011-07-01,2042870.16,-2.8943903751812883,74.46605000000001,3.839911557090226,5.24131619937695,8.91179336483371,7.609,-6.54305737438719,35.1317930938104,0,0,3,,,,,,,,,,,,,,,,,,,,,
2011-10-01,2225135.23,8.546193108119482,75.74115666666667,1.6978377077452755,5.24131619937695,8.91179336483371,7.609,-6.54305737438719,35.1317930938104,0,0,4,-2.8943903751812883,,,,3.839911557090226,,5.24131619937695,,8.91179336483371,,7.609,,-6.54305737438719,,35.1317930938104,,,,,,
2012-01-01,2365461.4,6.115540675332021,76.2512,0.6711459168564637,5.45638755166587,9.47899691419801,7.645,-6.72486040591518,35.261292320436,0,0,1,8.546193108119482,-2.8943903751812883,,,1.6978377077452755,3.839911557090226,5.24131619937695,5.24131619937695,8.91179336483371,8.91179336483371,7.609,7.609,-6.54305737438719,-6.54305737438719,35.1317930938104,35.1317930938104,2.825901366469097,8.089714161772788,,,
2012-04-01,2205223.44,-7.01442609544678,78.92891333333334,3.4514463083646696,5.45638755166587,9.47899691419801,7.645,-6.72486040591518,35.261292320436,0,0,2,6.115540675332021,8.546193108119482,-2.8943903751812883,,0.6711459168564637,1.6978377077452755,5.45638755166587,5.24131619937695,9.47899691419801,8.91179336483371,7.645,7.609,-6.72486040591518,-6.54305737438719,35.261292320436,35.1317930938104,7.330866891725751,1.7187308179315928,,,4.752917312823435
2012-07-01,2195945.88,-0.4215958563413835,81.73414000000001,3.492416868728476,5.45638755166587,9.47899691419801,7.645,-6.72486040591518,35.261292320436,0,0,3,-7.01442609544678,6.115540675332021,8.546193108119482,-2.8943903751812883,3.4514463083646696,0.6711459168564637,5.45638755166587,5.45638755166587,9.47899691419801,9.47899691419801,7.645,7.645,-6.72486040591518,-6.72486040591518,35.261292320436,35.261292320436,-0.44944271005737946,9.284288540371724,1.1882293282058587,7.356841889010574,7.2257118316633395
2012-10-01,2344767.21,6.557324764680672,83.39178,2.0077958516617755,5.45638755166587,9.47899691419801,7.645,-6.72486040591518,35.261292320436,0,0,4,-0.4215958563413835,-7.01442609544678,6.115540675332021,8.546193108119482,3.492416868728476,3.4514463083646696,5.45638755166587,5.45638755166587,9.47899691419801,9.47899691419801,7.645,7.645,-6.72486040591518,-6.72486040591518,35.261292320436,35.261292320436,-3.7180109758940816,4.661834969283153,1.8064279579158349,6.994389252320235,5.23684348822453
2013-01-01,2467081.87,5.084989687085262,85.17692,2.1180761762468414,6.38610640094825,10.0178784746102,7.678,-2.98240934563964,34.3046574869553,0,0,1,6.557324764680672,-0.4215958563413835,-7.01442609544678,6.115540675332021,2.0077958516617755,3.492416868728476,5.45638755166587,5.45638755166587,9.47899691419801,9.47899691419801,7.645,7.645,-6.72486040591518,-6.72486040591518,35.261292320436,35.261292320436,3.0678644541696443,4.934842096487327,1.3092108720561324,6.401097038936996,4.206292499977771
2013-04-01,2347396.37,-4.972923676157492,87.34460000000001,2.5130709287185304,6.38610640094825,10.0178784746102,7.678,-2.98240934563964,34.3046574869553,0,0,2,5.084989687085262,6.557324764680672,-0.4215958563413835,-7.01442609544678,2.1180761762468414,2.0077958516617755,6.38610640094825,5.45638755166587,10.0178784746102,9.47899691419801,7.678,7.645,-2.98240934563964,-6.72486040591518,34.3046574869553,35.261292320436,5.821157225882967,1.0410981175465361,1.0515731249944427,6.1593376416890955,6.247794919267058
2013-07-01,2357078.87,0.411629913121736,90.53236,3.58461414482667,6.38610640094825,10.0178784746102,7.678,-2.98240934563964,34.3046574869553,0,0,3,-4.972923676157492,5.084989687085262,6.557324764680672,-0.4215958563413835,2.5130709287185304,2.1180761762468414,6.38610640094825,6.38610640094825,10.0178784746102,10.0178784746102,7.678,7.678,-2.98240934563964,-2.98240934563964,34.3046574869553,34.3046574869553,0.05603300546388468,7.112018743735747,1.5619487298167645,5.29164768932844,7.081020688730177
2013-10-01,2497997.34,5.80662614287828,92.18999333333332,1.814423664200504,6.38610640094825,10.0178784746102,7.678,-2.98240934563964,34.3046574869553,0,0,4,0.411629913121736,-4.972923676157492,5.084989687085262,6.557324764680672,3.58461414482667,2.5130709287185304,6.38610640094825,6.38610640094825,10.0178784746102,10.0178784746102,7.678,7.678,-2.98240934563964,-2.98240934563964,34.3046574869553,34.3046574869553,-2.280646881517878,3.8074543566417067,1.7702551721825444,5.203198495892248,6.330322066927786
2014-01-01,2598897.56,3.9597992871941656,91.0424,-1.252626042686522,7.41022760508854,6.66565671867899,7.656,-2.98625973083243,33.4660257489805,0,0,1,5.80662614287828,0.411629913121736,-4.972923676157492,5.084989687085262,1.814423664200504,3.58461414482667,6.38610640094825,6.38610640094825,10.0178784746102,10.0178784746102,7.678,7.678,-2.98240934563964,-2.98240934563964,34.3046574869553,34.3046574869553,3.109128028000008,3.8148384185367097,1.5825805167319464,4.981806633054154,5.20513166703669
2014-04-01,2535750.59,-2.459765577615869,93.33759,2.489758853481039,7.41022760508854,6.66565671867899,7.656,-2.98625973083243,33.4660257489805,0,0,2,3.9597992871941656,5.80662614287828,0.411629913121736,-4.972923676157492,-1.252626042686522,1.814423664200504,7.41022760508854,6.38610640094825,6.66565671867899,10.0178784746102,7.656,7.678,-2.98625973083243,-2.98240934563964,33.4660257489805,34.3046574869553,4.883212715036223,1.3059037933316666,1.3012829167591724,4.744223776147447,7.718289765578312
2014-07-01,2562241.58,1.0392808603153725,96.65285,3.490277245829088,7.41022760508854,6.66565671867899,7.656,-2.98625973083243,33.4660257489805,0,0,3,-2.459765577615869,3.9597992871941656,5.80662614287828,0.411629913121736,2.489758853481039,-1.252626042686522,7.41022760508854,7.41022760508854,6.66565671867899,6.66565671867899,7.656,7.656,-2.98625973083243,-2.98625973083243,33.4660257489805,33.4660257489805,0.7500168547891484,4.539317848174076,1.929572441394578,3.6843725930775832,8.345940712771949
2014-10-01,2645947.14,3.214659561907673,96.78036000000002,0.1318388072753862,7.41022760508854,6.66565671867899,7.656,-2.98625973083243,33.4660257489805,0,0,4,1.0392808603153725,-2.459765577615869,3.9597992871941656,5.80662614287828,3.490277245829088,2.489758853481039,7.41022760508854,7.41022760508854,6.66565671867899,6.66565671867899,7.656,7.656,-2.98625973083243,-2.98625973083243,33.4660257489805,33.4660257489805,-0.7102423586502482,2.4741994639478126,2.086485178192987,3.6108072673658724,5.753974131801343
