,gdp_growth,cpi_level,unrate,indpro_level,interest_rate,cpi_growth,indpro_growth,wb_gdp_growth_pct,wb_cpi_inflation_pct,wb_unemployment_pct,wb_trade_bal_gdp_pct,wb_gross_savings_pct,oecd_leading_index,recession,covid_shock,quarter,gdp_growth_lag1,gdp_growth_lag2,gdp_growth_lag3,gdp_growth_lag4,cpi_growth_lag1,cpi_growth_lag2,indpro_growth_lag1,indpro_growth_lag2,unrate_lag1,unrate_lag2,interest_rate_lag1,interest_rate_lag2,oecd_leading_index_lag1,oecd_leading_index_lag2,wb_gdp_growth_pct_lag1,wb_gdp_growth_pct_lag2,wb_cpi_inflation_pct_lag1,wb_cpi_inflation_pct_lag2,wb_unemployment_pct_lag1,wb_unemployment_pct_lag2,wb_trade_bal_gdp_pct_lag1,wb_trade_bal_gdp_pct_lag2,wb_gross_savings_pct_lag1,wb_gross_savings_pct_lag2,gdp_growth_roll2_mean,gdp_growth_roll2_std,gdp_growth_roll4_mean,gdp_growth_roll4_std,gdp_growth_yoy,unrate_diff,interest_rate_diff,oecd_leading_index_diff
2000-01-01,1.87914567896685,99.02434999999998,4.833333333333333,103.4289,0.0254633333333333,,,2.97832688768516,-0.676578683595175,4.748,1.34458408508878,32.226897643242,92.97731333333331,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,0.611637523018782,99.26190333333334,4.7,106.01553333333334,0.0206366666666666,0.2396065718040851,2.4701204135567423,2.97832688768516,-0.676578683595175,4.748,1.34458408508878,32.226897643242,92.96054166666666,0,0,2,1.87914567896685,,,,,,,,4.833333333333333,,0.0254633333333333,,92.97731333333331,,2.97832688768516,,-0.676578683595175,,4.748,,1.34458408508878,,32.226897643242,,,,,,,-0.13333333333333286,-0.004826666666666701,-0.016771666666656415
2000-07-01,-0.045133217948401,99.02434999999998,4.666666666666667,106.7596,0.1419066666666666,-0.2396065718040851,0.6993953551181598,2.97832688768516,-0.676578683595175,4.748,1.34458408508878,32.226897643242,88.0215475,0,0,3,0.611637523018782,1.87914567896685,,,0.2396065718040851,,2.4701204135567423,,4.7,4.833333333333333,0.0206366666666666,0.0254633333333333,92.96054166666666,92.97731333333331,2.97832688768516,2.97832688768516,-0.676578683595175,-0.676578683595175,4.748,4.748,1.34458408508878,1.34458408508878,32.226897643242,32.226897643242,1.245391600992816,0.8962636122801348,,,,-0.033333333333333215,0.12127,-4.93899416666666
2000-10-01,1.0363330479737,98.88860333333332,4.733333333333333,107.99973333333332,0.2455166666666667,-0.1371781742100175,1.1549180177683027,2.97832688768516,-0.676578683595175,4.748,1.34458408508878,32.226897643242,47.26013,0,0,4,-0.045133217948401,0.611637523018782,1.87914567896685,,-0.2396065718040851,0.2396065718040851,0.6993953551181598,2.4701204135567423,4.666666666666667,4.7,0.1419066666666666,0.0206366666666666,88.0215475,92.96054166666666,2.97832688768516,2.97832688768516,-0.676578683595175,-0.676578683595175,4.748,4.748,1.34458408508878,1.34458408508878,32.226897643242,32.226897643242,0.28325215253519054,0.4644070446228092,,,,0.06666666666666643,0.10361000000000009,-40.7614175
2001-01-01,0.58479578460946,98.61712,4.766666666666667,104.84623333333332,0.2013466666666666,-0.2749120377202096,-2.963392561908851,0.284608556379041,-0.740055504162738,5.02,0.585420182648131,30.9468310340449,46.92335,1,0,1,1.0363330479737,-0.045133217948401,0.611637523018782,1.87914567896685,-0.1371781742100175,-0.2396065718040851,1.1549180177683027,0.6993953551181598,4.733333333333333,4.666666666666667,0.2455166666666667,0.1419066666666666,47.26013,88.0215475,2.97832688768516,2.97832688768516,-0.676578683595175,-0.676578683595175,4.748,4.748,1.34458408508878,1.34458408508878,32.226897643242,32.226897643242,0.49559991501264955,0.7647121302580121,0.8704957580027328,0.8062796614132847,3.4819830320109313,0.033333333333333215,-0.0441700000000001,-0.3367799999999974
2001-04-01,-0.758646066177637,98.54924666666666,4.9,101.51550000000002,0.01873,-0.0688487972486662,-3.228333618371959,0.284608556379041,-0.740055504162738,5.02,0.585420182648131,30.9468310340449,82.258965,1,0,2,0.58479578460946,1.0363330479737,-0.045133217948401,0.611637523018782,-0.2749120377202096,-0.1371781742100175,-2.963392561908851,1.1549180177683027,4.766666666666667,4.733333333333333,0.2013466666666666,0.2455166666666667,46.92335,47.26013,0.284608556379041,2.97832688768516,-0.740055504162738,-0.676578683595175,5.02,4.748,0.585420182648131,1.34458408508878,30.9468310340449,32.226897643242,0.81056441629158,0.31928506088327085,0.5469082844133852,0.44559887668410675,2.187633137653541,0.13333333333333375,-0.1826166666666666,35.335615000000004
2001-07-01,-1.17725202115579,98.31169666666666,5.133333333333333,97.22812,0.0093033333333333,-0.2413379833263285,-4.315152614393991,0.284608556379041,-0.740055504162738,5.02,0.585420182648131,30.9468310340449,93.00559333333332,0,0,3,-0.758646066177637,0.58479578460946,1.0363330479737,-0.045133217948401,-0.0688487972486662,-0.2749120377202096,-3.228333618371959,-2.963392561908851,4.9,4.766666666666667,0.01873,0.2013466666666666,82.258965,46.92335,0.284608556379041,0.284608556379041,-0.740055504162738,-0.740055504162738,5.02,5.02,0.585420182648131,0.585420182648131,30.9468310340449,30.9468310340449,-0.08692514078408847,0.9499568428213627,0.20433738711428054,0.7802858634325135,0.8173495484571222,0.2333333333333325,-0.0094266666666667,10.74662833333332
2001-10-01,-0.218352176399106,97.97234,5.366666666666667,94.88954,0.00247,-0.345781562837022,-2.43464917831151,0.284608556379041,-0.740055504162738,5.02,0.585420182648131,30.9468310340449,95.52257916666667,0,0,4,-1.17725202115579,-0.758646066177637,0.58479578460946,1.0363330479737,-0.2413379833263285,-0.0688487972486662,-4.315152614393991,-3.228333618371959,5.133333333333333,4.9,0.0093033333333333,0.01873,93.00559333333332,82.258965,0.284608556379041,0.284608556379041,-0.740055504162738,-0.740055504162738,5.02,5.02,0.585420182648131,0.585420182648131,30.9468310340449,30.9468310340449,-0.9679490436667135,0.29599910941012497,-0.07869231368756671,1.0571452990842272,-0.31476925475026685,0.23333333333333428,-0.006833333333333301,2.516985833333351
2002-01-01,0.253555660695359,97.25969,5.266666666666667,95.42103666666668,0.0013866666666666,-0.7300576296386474,0.5585586022722744,0.0849888050363319,-0.923494026942321,5.386,1.24498770452081,29.7659095325359,95.11901888888887,0,0,1,-0.218352176399106,-1.17725202115579,-0.758646066177637,0.58479578460946,-0.345781562837022,-0.2413379833263285,-2.43464917831151,-4.315152614393991,5.366666666666667,5.133333333333333,0.00247,0.0093033333333333,95.52257916666667,93.00559333333332,0.284608556379041,0.284608556379041,-0.740055504162738,-0.740055504162738,5.02,5.02,0.585420182648131,0.585420182648131,30.9468310340449,30.9468310340449,-0.697802098777448,0.6780445827061798,-0.3923636197807682,0.7605553052797558,-1.569454479123073,-0.10000000000000053,-0.0010833333333334,-0.40356027777779957
2002-04-01,0.717707235858378,97.70085666666668,5.4,98.14937666666668,0.00142,0.4525709711107772,2.8191505600505096,0.0849888050363319,-0.923494026942321,5.386,1.24498770452081,29.7659095325359,100.40630333333333,0,0,2,0.253555660695359,-0.218352176399106,-1.17725202115579,-0.758646066177637,-0.7300576296386474,-0.345781562837022,0.5585586022722744,-2.43464917831151,5.266666666666667,5.366666666666667,0.0013866666666666,0.00247,95.11901888888887,95.52257916666667,0.0849888050363319,0.284608556379041,-0.923494026942321,-0.740055504162738,5.386,5.02,1.24498770452081,0.585420182648131,29.7659095325359,30.9468310340449,0.017601742148126598,0.3336892317045738,-0.47517365075929346,0.6245730081550174,-1.9006946030371739,0.13333333333333375,3.3333333333400135e-05,5.2872844444444524
